Cid,feat.yoplait,feat.dannon,feat.hiland,feat.weight,price.yoplait,price.dannon,price.hiland,price.weight,choice,sex,age,married
1,0,0,0,0,10.8,8.1,6.1000001,7.9000004,weight,1,53,0
1,0,0,0,0,10.8,9.7999997,6.4000003,7.5000003,dannon,1,53,0
1,0,0,0,0,10.8,9.7999997,6.1000001,8.6000003,dannon,1,53,0
1,0,0,0,0,10.8,9.7999997,6.1000001,8.6000003,dannon,1,53,0
1,0,0,0,0,12.5,9.7999997,4.8999999,7.9000004,dannon,1,53,0
1,0,0,0,0,10.8,9.2,5.0000001,7.9000004,dannon,1,53,0
1,0,0,0,0,10.3,8.1,4.8999999,7.9000004,dannon,1,53,0
1,0,0,0,0,10.8,8.6000003,5.4000001,7.9000004,weight,1,53,0
2,0,0,0,0,10.8,9.7999997,5.0000001,7.9000004,yoplait,0,32,1
2,0,0,0,0,10.8,9.7999997,5.0000001,7.9000004,yoplait,0,32,1
2,0,0,0,0,10.8,9.7999997,5.0000001,7.9000004,yoplait,0,32,1
2,0,0,0,0,10.8,9.7999997,5.0000001,7.9000004,yoplait,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,8.6000003,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,8.6000003,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,8.1,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,7.9000004,weight,0,32,1
2,0,0,0,0,10.8,8.1,5.0000001,8.1,weight,0,32,1
