Cid,Duration,Event,DM,Sex,Age,Freq,Amount
1,27,1,0,1,38,2,8.53
2,31,1,1,0,47,2,8.37
3,36,1,1,0,54,4,8.28
4,35,1,1,1,65,2,8.5
5,31,1,0,0,17,2,8.28
6,27,1,1,1,41,4,8.25
7,51,1,0,1,24,3,8.21
8,24,1,0,0,44,3,8.06
9,11,1,0,0,28,1,7.97
10,47,1,1,0,58,2,8.55
11,25,1,0,1,36,1,8.37
12,14,1,0,1,29,1,8.41
13,54,0,0,0,47,3,8.08
14,39,1,0,1,52,2,8.56
15,34,1,0,0,40,2,8.56
16,15,1,1,1,23,2,8.62
17,54,1,1,0,70,3,8.02
18,43,1,0,0,56,1,8.67
19,37,1,0,0,64,3,8.56
20,41,1,0,1,32,1,7.98
21,28,1,1,0,58,1,8.66
22,40,1,0,0,45,2,8.55
23,28,1,0,0,63,3,8.23
24,42,1,0,0,54,5,8.34
25,24,1,1,1,33,1,8.42
26,31,1,0,0,26,2,8.4
27,26,1,1,0,38,1,7.84
28,46,1,1,1,53,3,8.19
29,31,1,1,0,31,2,8.2
30,31,1,0,0,59,2,8.38
31,18,1,1,0,33,3,8.52
32,42,1,1,0,50,2,7.97
33,18,1,0,0,31,2,8.31
34,20,1,0,0,59,3,8.31
35,43,1,0,1,43,2,8.33
36,26,1,1,0,64,2,8.02
37,29,1,1,1,51,1,8.38
38,29,1,1,0,51,1,7.72
39,49,1,0,0,70,3,8.5
40,19,1,1,1,23,1,8.52
41,35,1,0,0,69,3,8.27
42,25,1,1,0,33,1,8.37
43,24,1,0,0,25,1,7.59
44,36,1,0,1,38,3,8.81
45,18,1,0,1,31,4,7.98
46,32,1,0,0,20,1,8.01
47,17,1,1,0,30,3,8.65
48,25,1,1,1,19,4,7.89
49,28,1,0,0,52,2,7.65
50,26,1,0,0,29,2,8.06
51,37,1,0,0,47,1,8.57
52,27,1,1,0,65,2,8.25
53,34,1,1,0,24,1,8.5
54,34,1,0,0,26,1,8.61
55,54,0,1,0,64,4,8.27
56,28,1,1,0,17,2,8.09
57,29,1,1,1,25,4,8.14
58,17,1,1,0,26,1,7.98
59,35,1,1,0,47,4,8.47
60,54,0,1,0,67,7,7.02
61,36,1,1,0,53,1,8.26
62,48,1,0,0,58,1,7.86
63,25,1,0,0,30,2,7.82
64,43,1,0,0,51,3,8.18
65,23,1,1,0,25,2,8.15
66,29,1,1,1,40,2,8.57
67,44,1,1,0,45,4,7.92
68,34,1,1,0,35,4,8.19
69,39,1,1,1,65,2,8.4
70,12,1,1,1,19,2,8.51
71,24,1,1,1,52,2,8.5
72,54,0,1,0,65,2,8.51
73,32,1,1,0,47,3,8.02
74,41,1,1,1,65,2,8.31
75,34,1,1,1,54,2,8.07
76,28,1,0,0,31,3,8.4
77,38,1,1,0,34,1,8.56
78,41,1,1,0,41,2,8.25
79,26,1,1,1,38,3,8.51
80,32,1,0,0,42,2,7.42
81,26,1,0,0,68,1,8.59
82,34,1,1,1,20,6,7.93
83,36,1,0,0,68,4,8.45
84,15,1,1,0,21,2,8.41
85,40,1,0,0,24,4,8.55
86,27,1,0,1,29,3,8.32
87,27,1,0,1,46,2,8.1
88,32,1,1,0,34,2,7.89
89,27,1,1,1,24,1,8.43
90,40,1,0,0,47,3,8.28
91,20,1,1,1,21,2,8.48
92,35,1,0,0,46,2,8.31
93,50,1,1,1,55,1,8.23
94,41,1,0,0,46,4,8.24
95,23,1,1,0,36,1,7.93
96,22,1,1,1,40,1,8.45
97,35,1,0,0,57,2,8.65
98,22,1,0,1,60,2,8.15
99,26,1,0,0,23,2,8.35
100,19,1,0,1,25,3,8.39
101,22,1,0,0,26,2,8.44
102,16,1,0,0,20,3,8.15
103,22,1,0,0,23,2,8.07
104,23,1,0,1,60,3,8.61
105,13,1,1,0,17,2,8.18
106,27,1,1,1,49,1,8.44
107,46,1,1,1,33,3,8.29
108,17,1,1,0,33,1,8.44
109,38,1,0,0,65,2,8.13
110,26,1,0,0,22,3,8.45
111,41,1,1,0,64,3,8.31
112,28,1,1,0,22,2,8.54
113,22,1,1,0,51,1,8.06
114,40,1,1,1,34,1,7.96
115,28,1,0,1,49,5,8.17
116,52,1,1,0,62,4,8.38
117,23,1,0,1,27,1,7.26
118,36,1,1,1,59,1,8.03
119,33,1,0,0,61,2,8.43
120,46,1,0,1,65,1,8.22
121,43,1,1,0,60,3,7.88
122,12,1,1,1,19,1,8.62
123,14,1,0,1,21,1,7.49
124,49,1,0,1,26,2,8.33
125,40,1,1,1,38,3,8.46
126,47,1,1,1,32,5,8.7
127,29,1,1,1,66,3,8.7
128,45,1,1,0,51,2,8.52
129,28,1,0,1,26,2,8.65
130,23,1,0,1,55,1,8.5
131,36,1,1,1,25,3,8.49
132,32,1,0,0,67,1,8.57
133,3,1,1,1,23,2,8.1
134,24,1,1,0,23,1,8.24
135,18,1,0,0,56,3,8.08
136,32,1,0,0,65,1,8.74
137,24,1,0,0,33,2,8.3
138,21,1,0,1,36,1,7.44
139,29,1,1,0,29,1,8.3
140,30,1,1,0,37,1,7.64
141,42,1,1,0,58,1,8.23
142,43,1,1,1,39,3,8.29
143,41,1,1,0,47,2,7.57
144,37,1,0,0,51,4,8.03
145,13,1,1,0,43,2,7.71
146,13,1,0,0,21,1,8.56
147,47,1,1,0,60,4,8.51
148,20,1,0,1,17,3,8.22
149,32,1,0,1,54,2,8.58
150,30,1,0,0,36,7,8.7
151,39,1,1,0,66,1,8.79
152,19,1,1,0,30,2,8.4
153,47,1,0,0,70,2,8.13
154,42,1,0,0,25,2,8.65
155,48,1,1,0,59,1,8.14
156,37,1,1,1,64,3,7.93
157,45,1,0,0,38,7,8.09
158,22,1,0,1,28,1,8.47
159,23,1,0,0,54,1,8.18
160,15,1,0,0,24,2,8.3
161,36,1,1,1,40,2,7.81
162,20,1,0,0,41,2,7.91
163,31,1,0,0,47,3,8.31
164,46,1,0,0,59,4,8.26
165,43,1,1,0,58,2,8.57
166,30,1,0,0,42,3,8.43
167,42,1,1,0,51,2,8.27
168,32,1,0,0,64,6,8.67
169,25,1,0,0,48,2,8
170,15,1,0,1,34,1,8.18
171,21,1,1,0,27,4,8.4
172,20,1,0,0,58,2,7.8
173,37,1,0,0,44,7,7.67
174,21,1,1,0,69,2,8.29
175,30,1,1,0,51,2,8.33
176,46,1,1,0,27,1,7.78
177,50,1,0,0,56,2,8.13
178,12,1,1,0,19,3,8.42
179,26,1,0,0,48,2,8.28
180,35,1,1,0,65,2,8.32
181,35,1,0,0,63,4,8.02
182,25,1,1,1,47,2,8.5
183,28,1,1,0,60,1,8.39
184,34,1,0,1,44,2,8.38
185,34,1,1,0,22,2,8.64
186,31,1,0,0,19,2,8.68
187,51,1,1,0,62,3,7.78
188,23,1,0,1,32,4,8.45
189,20,1,1,0,37,3,8.2
190,49,1,0,0,47,2,8.35
191,40,1,1,1,59,1,8.52
192,21,1,1,0,32,1,8.25
193,31,1,1,1,18,1,8.26
194,37,1,1,0,67,2,8.52
195,20,1,0,1,18,2,8.38
196,40,1,0,0,29,1,8.57
197,32,1,0,0,40,2,8.14
198,47,1,0,1,64,3,8.4
199,40,1,0,1,20,1,7.72
200,45,1,1,0,30,3,8.43
201,15,1,1,1,47,3,8.51
202,24,1,0,0,31,2,7.84
203,48,1,0,1,55,4,8.33
204,11,1,0,1,23,2,7.44
205,38,1,1,0,42,1,8.23
206,25,1,0,1,34,2,8.22
207,30,1,0,0,58,1,8.25
208,29,1,0,0,41,2,8.34
209,40,1,1,1,21,2,8.15
210,35,1,0,0,37,2,8.56
211,25,1,1,0,41,3,8.41
212,50,1,1,0,46,3,7.76
213,11,1,0,0,20,1,8.41
214,41,1,1,0,65,2,8.36
215,28,1,0,0,30,3,7.71
216,18,1,1,0,18,2,8.59
217,35,1,1,1,51,2,8.28
218,22,1,0,0,25,2,8.41
219,54,0,0,1,47,2,8.65
220,38,1,1,1,48,2,8.34
221,32,1,1,1,68,1,8.3
222,52,1,1,0,70,1,8.41
223,35,1,0,0,59,3,8.43
224,37,1,0,1,62,1,8.77
225,35,1,1,1,49,1,8.41
226,51,1,0,1,69,3,8.33
227,43,1,1,0,61,2,8.13
228,33,1,1,1,66,2,8.32
229,51,1,1,1,36,2,8.62
230,46,1,1,0,70,3,8.14
231,23,1,1,1,45,1,8.27
232,41,1,1,0,21,2,8.41
233,42,1,0,1,34,4,8.03
234,46,1,0,0,62,3,8.39
235,47,1,0,1,63,4,8.76
236,38,1,0,0,44,3,8.05
237,35,1,0,0,55,6,8.55
238,17,1,1,1,41,2,8.03
239,25,1,1,0,22,1,8.3
240,32,1,1,0,66,1,8.1
241,35,1,0,1,69,2,8.21
242,45,1,1,0,52,3,8.47
243,21,1,0,1,40,3,8.16
244,35,1,1,1,45,3,8.12
245,28,1,1,0,32,1,8.36
246,38,1,1,0,36,3,7.99
247,20,1,1,1,27,4,8.34
248,16,1,0,0,31,3,8.09
249,7,1,1,0,29,1,8.05
250,46,1,0,1,46,3,8.37
251,39,1,1,1,36,2,8.1
252,26,1,1,0,49,1,8.16
253,40,1,1,0,63,5,8.51
254,44,1,0,1,33,2,8.38
255,34,1,1,0,62,1,8.54
256,33,1,1,1,62,1,7.76
257,45,1,1,0,63,2,8.15
258,33,1,1,0,35,4,8.35
259,22,1,1,1,31,6,8.25
260,20,1,1,0,57,1,7.99
261,29,1,0,0,56,1,8
262,19,1,0,1,57,2,8.29
263,31,1,0,0,60,2,8.56
264,33,1,0,1,42,1,8.62
265,23,1,0,1,59,3,8.17
266,38,1,1,0,70,6,8.38
267,23,1,0,1,66,2,8.54
268,30,1,0,0,47,1,8.59
269,19,1,0,0,49,2,7.99
270,34,1,1,1,51,1,8.53
271,20,1,1,0,29,1,8.56
272,11,1,0,0,42,1,8.25
273,33,1,1,1,42,1,7.79
274,16,1,1,1,55,2,8.57
275,42,1,0,0,48,2,8.13
276,38,1,0,0,37,2,8.31
277,32,1,0,0,41,3,8.05
278,40,1,0,0,32,3,8.21
279,28,1,1,0,36,4,8.17
280,15,1,0,0,37,1,8.43
281,38,1,0,0,68,2,7.98
282,46,1,1,0,67,3,7.68
283,29,1,1,0,56,5,7.64
284,36,1,0,1,51,1,8.36
285,34,1,1,0,40,4,8.06
286,42,1,1,0,46,5,8.24
287,22,1,1,0,40,1,8.18
288,22,1,1,1,43,1,7.75
289,48,1,0,1,55,6,8.05
290,27,1,1,0,56,2,8.38
291,30,1,0,0,21,1,8.7
292,46,1,0,0,60,2,8.24
293,29,1,1,0,25,3,8.41
294,37,1,1,1,19,2,8.5
295,29,1,1,0,17,3,8.33
296,33,1,1,0,24,2,8.37
297,50,1,1,1,47,3,8.29
298,27,1,0,0,23,2,8.39
299,16,1,1,0,24,1,8.15
300,21,1,0,0,20,1,8.32
301,26,1,1,1,50,4,8.41
302,45,1,1,0,60,4,8.77
303,10,1,0,0,18,1,8.23
304,36,1,0,0,38,1,8.4
305,25,1,1,1,28,3,8.56
306,25,1,0,0,44,2,8.25
307,33,1,1,1,31,3,7.92
308,40,1,1,1,43,1,8.02
309,44,1,1,1,54,1,8.19
310,42,1,1,1,39,4,8.19
311,38,1,1,1,46,3,8.28
312,42,1,1,0,68,3,8.41
313,10,1,0,0,23,2,8.3
314,19,1,1,1,44,1,8.34
315,50,1,1,0,66,2,8.1
316,28,1,1,1,29,2,8.12
317,35,1,0,0,40,2,8.59
318,18,1,0,1,39,1,8.49
319,22,1,0,0,23,1,7.95
320,30,1,1,0,25,3,8.22
321,29,1,0,0,35,2,8.32
322,33,1,0,0,66,2,8.78
323,28,1,0,0,69,2,8.63
324,35,1,0,0,49,4,8.22
325,35,1,1,0,49,2,8.16
326,27,1,1,1,27,2,8.51
327,26,1,0,0,26,3,8.2
328,33,1,0,0,17,4,8.31
329,23,1,0,1,43,1,8.29
330,45,1,1,0,31,2,8.13
331,30,1,1,0,30,3,8.19
332,53,1,0,0,58,4,8.24
333,52,1,0,0,54,6,8.52
334,3,1,0,1,26,2,7.83
335,20,1,0,0,28,2,8.26
336,24,1,1,0,42,2,8.48
337,12,1,0,0,52,1,8.26
338,24,1,1,0,32,1,8.17
339,36,1,1,0,23,1,8.61
340,18,1,0,0,47,1,8.15
341,50,1,0,1,66,3,8.47
342,25,1,0,0,28,2,8.53
343,39,1,1,1,62,5,8.61
344,35,1,1,1,63,2,8.1
345,23,1,0,0,59,4,8.26
346,26,1,1,1,51,2,8.35
347,38,1,0,0,44,4,7.9
348,17,1,1,0,62,3,7.7
349,22,1,0,0,33,1,8.01
350,49,1,1,1,64,2,8.61
351,18,1,0,0,24,1,7.99
352,47,1,0,0,54,3,8.43
353,19,1,0,0,47,3,8.45
354,46,1,0,0,62,4,8.58
